StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"To facilitate early detection of breast cancer, starting at a particular age, women are encouraged to participate at regular intervals in routine screening, even if they have no obvious symptoms. Imagine that you conduct such breast cancer screening using mammography in a particular region of the country. The following information is available about asymptomatic women aged 40 to 50 in such a region who participate in mammography screening:

 

The probability that one of these women has breast cancer is 0.8 percent. If a woman has breast cancer, the probability is 90 percent that she will have a positive mammogram. If a woman does not have breast cancer, the probability is 7 percent that she will still have a positive mammogram. Imagine a woman who has a positive mammogram. What is the probability that she actually has breast cancer?

 

Please write your answer between 0 and 1. So, 50% = 0.5. If you don’t know how to calculate this number, enter your best guess.","To facilitate early detection of breast cancer, starting at a particular age, women are encouraged to participate at regular intervals in routine screening, even if they have no obvious symptoms. Imagine that you conduct such breast cancer screening using mammography in a particular region of the country. The following information is available about asymptomatic women aged 40 to 50 in such a region who participate in mammography screening:

 

Eight out of every 1,000 women have breast cancer. Of these 8 women with breast cancer, 7 will have a positive mammogram. Of the remaining 992 women who don't have breast cancer, some 70 will still have a positive mammogram. Imagine a sample of women who have positive mammograms in screening. What percent of these women actually have breast cancer?

 

Please write your answer between 0 and 100. So, 50% = 50. If you don’t know how to calculate this number, enter your best guess."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2_TEXT""}"
2021-08-31 12:59:42,2021-08-31 13:00:38,IP Address,65.112.10.9,100,56,True,2021-08-31 13:00:39,R_2tMycg38ljW5D5u,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.8,
2021-08-31 13:35:28,2021-08-31 13:44:17,IP Address,65.112.8.28,100,528,True,2021-08-31 13:44:17,R_3KGWAhZFquyMWn6,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,,9
2021-08-31 13:39:59,2021-08-31 13:46:41,IP Address,50.234.189.46,100,402,True,2021-08-31 13:46:41,R_2TLVhc082yf1gAn,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.09,
2021-08-31 13:46:01,2021-08-31 14:06:47,IP Address,65.112.8.16,100,1245,True,2021-08-31 14:06:48,R_1GCjhFP4LGlBcWx,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.09,
2021-08-31 14:55:00,2021-08-31 15:09:05,IP Address,65.112.8.143,100,845,True,2021-08-31 15:09:06,R_1eV1IrRpwgNKUKb,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,,0.74
2021-08-31 15:23:52,2021-08-31 15:28:48,IP Address,65.112.8.58,100,295,True,2021-08-31 15:28:49,R_1LnabIAUkHFzPHP,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,,9
2021-08-31 15:30:57,2021-08-31 16:01:32,IP Address,50.216.129.154,100,1834,True,2021-08-31 16:01:32,R_25MbPUAsiyRTfai,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.09,
2021-08-31 16:13:28,2021-08-31 16:20:42,IP Address,65.112.8.53,100,433,True,2021-08-31 16:20:42,R_272Nkc7BGchcVVb,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,,9
2021-08-31 19:18:55,2021-08-31 19:24:55,IP Address,50.234.189.42,100,359,True,2021-08-31 19:24:55,R_1LLERH40K3HzLZm,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,,0.8
2021-08-31 21:19:15,2021-08-31 21:30:19,IP Address,50.234.189.46,100,663,True,2021-08-31 21:30:19,R_20YZbnpjwMdyPcG,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.09,
2021-08-31 22:24:04,2021-08-31 22:33:21,IP Address,50.234.189.37,100,556,True,2021-08-31 22:33:22,R_3NWhJ45R7xqbw90,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,,9
2021-09-01 06:05:36,2021-09-01 06:13:31,IP Address,73.238.153.164,100,474,True,2021-09-01 06:13:32,R_3mdA4zhwgRmbxog,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.9,
2021-09-01 09:20:53,2021-09-01 09:21:57,IP Address,199.94.1.20,100,64,True,2021-09-01 09:21:58,R_1mm9JHAvWDd7NCQ,,,,,42.328704833984375,-71.1139984130859375,anonymous,EN,0.72,
2021-09-01 10:22:16,2021-09-01 10:29:12,IP Address,65.112.8.20,100,416,True,2021-09-01 10:29:13,R_26gtPcDWpAqaWlW,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.98,
2021-09-01 10:23:27,2021-09-01 10:32:52,IP Address,65.112.8.61,100,564,True,2021-09-01 10:32:52,R_2EibqWIrA8MAhKZ,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,,9
2021-09-01 10:37:45,2021-09-01 10:52:04,IP Address,65.112.8.58,100,859,True,2021-09-01 10:52:04,R_3fUD4ytodfDiF0p,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,,9.1
2021-09-01 10:51:12,2021-09-01 10:53:41,IP Address,65.112.8.56,100,148,True,2021-09-01 10:53:41,R_24pBTTC75VGFjgI,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,,9
2021-09-01 10:52:52,2021-09-01 10:58:26,IP Address,65.112.8.60,100,334,True,2021-09-01 10:58:26,R_2AYIn3udpvop95Z,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,,9
2021-09-01 10:53:38,2021-09-01 11:02:06,IP Address,65.112.8.18,100,508,True,2021-09-01 11:02:07,R_1jcEnksufYNu4jR,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.07,
2021-09-01 10:59:15,2021-09-01 11:04:03,IP Address,65.112.8.19,100,287,True,2021-09-01 11:04:03,R_3oOdi73I3iSUqkx,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,,0.8
2021-09-01 11:05:09,2021-09-01 11:07:12,IP Address,65.112.8.29,100,122,True,2021-09-01 11:07:13,R_3dG1hIqQUYkbVCq,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.8,
2021-09-01 12:12:52,2021-09-01 12:14:42,IP Address,66.31.42.134,100,109,True,2021-09-01 12:14:42,R_3yrbl8XGhCR06PL,,,,,42.3907012939453125,-71.1349029541015625,anonymous,EN,,9
2021-09-01 12:43:29,2021-09-01 12:47:36,IP Address,65.96.166.56,100,246,True,2021-09-01 12:47:36,R_1Q62XQ78PzBxGmE,,,,,42.364898681640625,-71.09870147705078125,anonymous,EN,,9
2021-09-01 12:57:57,2021-09-01 13:07:48,IP Address,209.6.73.116,100,591,True,2021-09-01 13:07:49,R_2qdWKZdNZXcvUrN,,,,,42.3473968505859375,-71.158203125,anonymous,EN,0.09,
2021-09-01 13:15:48,2021-09-01 13:15:52,IP Address,65.112.8.24,100,3,True,2021-09-01 13:15:52,R_3ktU7ju5Bsew6Ad,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.98,
2021-09-01 13:14:44,2021-09-01 13:17:45,IP Address,172.56.34.248,100,180,True,2021-09-01 13:17:45,R_2DO0TfX5NTBYGXT,,,,,40.700897216796875,-73.94609832763671875,anonymous,EN,,9.09
